E:\Dataset\blur\archive\sharp\0_IPHONE-SE_S.JPG, Quality: 56, BlurExtent: 0.436, Per: 0.01762, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\259_XIAOMI-REDMI-7_S.jpg, Quality: 28, BlurExtent: 0.720, Per: 0.00522, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\25_HUAWEI-Y9_S.jpg, Quality: 95, BlurExtent: 0.044, Per: 0.06132, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\260_HUAWEI-NOVA-LITE_S.jpg, Quality: 57, BlurExtent: 0.421, Per: 0.01013, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\261_HONOR-10_S.jpg, Quality: 88, BlurExtent: 0.117, Per: 0.01557, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\262_IPHONE-SE_S.jpg, Quality: 40, BlurExtent: 0.599, Per: 0.00030, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\263_XIAOMI-REDMI-3S_S.jpg, Quality: 61, BlurExtent: 0.383, Per: 0.01685, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\264_IPHONE-7_S.jpeg, Quality: 62, BlurExtent: 0.379, Per: 0.01782, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\265_HONOR-9-LITE_S.jpg, Quality: 36, BlurExtent: 0.638, Per: 0.02968, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\266_SONY-NEX-5T_S.JPG, Quality: 68, BlurExtent: 0.313, Per: 0.07814, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\267_SONY-NEX-5T_S.JPG, Quality: 63, BlurExtent: 0.367, Per: 0.03765, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\268_NIKON-D3400-18-55MM_S.JPG, Quality: 68, BlurExtent: 0.315, Per: 0.00651, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\269_NIKON-D3400-18-55MM_S.JPG, Quality: 50, BlurExtent: 0.490, Per: 0.00151, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\26_HONOR-8X_S.jpg, Quality: 66, BlurExtent: 0.330, Per: 0.05069, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\270_NIKON-D3400-18-55MM_S.JPG, Quality: 73, BlurExtent: 0.268, Per: 0.00125, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\271_NIKON-D3400-18-55MM_S.JPG, Quality: 25, BlurExtent: 0.748, Per: 0.00021, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\272_NIKON-D3400-18-55MM_S.JPG, Quality: 17, BlurExtent: 0.822, Per: 0.00027, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\273_NIKON-D3400-18-55MM_S.JPG, Quality: 16, BlurExtent: 0.840, Per: 0.00068, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\274_NIKON-D3400-18-55MM_S.JPG, Quality: 18, BlurExtent: 0.812, Per: 0.00059, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\275_NIKON-D3400-18-55MM_S.JPG, Quality: 88, BlurExtent: 0.118, Per: 0.00274, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\276_NIKON-D3400-18-55MM_S.JPG, Quality: 45, BlurExtent: 0.545, Per: 0.00081, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\277_NIKON-D3400-18-55MM_S.JPG, Quality: 16, BlurExtent: 0.833, Per: 0.00047, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\278_HONOR-7X_S.jpg, Quality: 32, BlurExtent: 0.672, Per: 0.00305, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\279_NIKON-D3400-18-55MM_S.JPG, Quality: 9, BlurExtent: 0.909, Per: 0.00036, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\27_HONOR-8X_S.jpg, Quality: 69, BlurExtent: 0.301, Per: 0.07261, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\280_NIKON-D3400-18-55MM_S.JPG, Quality: 21, BlurExtent: 0.782, Per: 0.00030, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\281_NIKON-D3400-18-55MM_S.JPG, Quality: 41, BlurExtent: 0.586, Per: 0.00186, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\282_SONY-NEX-5T_S.JPG, Quality: 76, BlurExtent: 0.237, Per: 0.00875, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\283_HONOR-10_S.jpg, Quality: 64, BlurExtent: 0.356, Per: 0.02152, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\284_SONY-NEX-5T_S.JPG, Quality: 85, BlurExtent: 0.150, Per: 0.01019, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\285_SONY-NEX-5T_S.JPG, Quality: 89, BlurExtent: 0.106, Per: 0.05565, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\286_SONY-NEX-5T_S.JPG, Quality: 80, BlurExtent: 0.195, Per: 0.03629, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\287_WILEYFOX-SWIFT-2-PLUS_S.jpg, Quality: 38, BlurExtent: 0.613, Per: 0.03307, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\288_XIAOMI-REDMI-NOTE-7_S.jpg, Quality: 73, BlurExtent: 0.263, Per: 0.00943, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\289_WILEYFOX-SWIFT-2-PLUS_S.jpg, Quality: 13, BlurExtent: 0.869, Per: 0.00372, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\28_HONOR-8X_S.jpg, Quality: 44, BlurExtent: 0.553, Per: 0.01685, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\290_IPHONE-SE_S.jpg, Quality: 28, BlurExtent: 0.718, Per: 0.00386, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\291_IPHONE-SE_S.jpg, Quality: 16, BlurExtent: 0.838, Per: 0.00186, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\292_NIKON-D3400-35MM_S.JPG, Quality: 42, BlurExtent: 0.580, Per: 0.01949, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\293_NIKON-D3400-35MM_S.JPG, Quality: 65, BlurExtent: 0.343, Per: 0.00759, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\294_PRESTIGIO-MULTI-PHONE_S.jpg, Quality: 77, BlurExtent: 0.228, Per: 0.00815, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\295_HONOR-7X_S.jpg, Quality: 87, BlurExtent: 0.122, Per: 0.01348, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\296_NIKON-D3400-35MM_S.JPG, Quality: 78, BlurExtent: 0.217, Per: 0.01639, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\297_NIKON-D3400-35MM_S.JPG, Quality: 58, BlurExtent: 0.411, Per: 0.00037, is blur: False, Full image processed
E:\Dataset\blur\archive\sharp\298_NIKON-D3400-35MM_S.JPG, Quality: 5, BlurExtent: 0.944, Per: 0.00000, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\299_NIKON-D3400-35MM_S.JPG, Quality: 80, BlurExtent: 0.196, Per: 0.12081, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\29_HONOR-7X_S.jpg, Quality: 16, BlurExtent: 0.832, Per: 0.00109, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\2_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 38, BlurExtent: 0.616, Per: 0.00598, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\300_XIAOMI-REDMI-NOTE-7_S.jpg, Quality: 100, BlurExtent: 0.000, Per: 0.03711, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\301_NIKON-D3400-35MM_S.JPG, Quality: 56, BlurExtent: 0.438, Per: 0.01853, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\302_IPHONE-SE_S.jpeg, Quality: 26, BlurExtent: 0.736, Per: 0.00853, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\303_SAMSUNG-GALAXY-A8_S.jpg, Quality: 28, BlurExtent: 0.713, Per: 0.01430, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\304_SAMSUNG-GALAXY-J7_S.jpg, Quality: 11, BlurExtent: 0.883, Per: 0.00034, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\305_HONOR-9_S.jpg, Quality: 80, BlurExtent: 0.200, Per: 0.00000, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\306_XIAOMI-REDMI-5-PLUS_S.jpg, Quality: 64, BlurExtent: 0.354, Per: 0.00380, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\307_HONOR-7X_S.jpg, Quality: 7, BlurExtent: 0.924, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\sharp\308_IPHONE-6S_S.jpeg, Quality: 36, BlurExtent: 0.634, Per: 0.00423, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\309_SAMSUNG-GALAXY-A8_S.jpg, Quality: 13, BlurExtent: 0.862, Per: 0.00150, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\30_HONOR-8X_S.jpg, Quality: 73, BlurExtent: 0.261, Per: 0.18293, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\310_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 77, BlurExtent: 0.229, Per: 0.02021, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\311_HONOR-6X_S.jpg, Quality: 56, BlurExtent: 0.440, Per: 0.00590, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\312_ASUS-ZENFONE-LIVE-ZB501KL_S.jpg, Quality: 42, BlurExtent: 0.577, Per: 0.02554, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\313_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 60, BlurExtent: 0.390, Per: 0.05421, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\314_IPHONE-5S_S.jpeg, Quality: 53, BlurExtent: 0.470, Per: 0.00768, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\315_HUAWEI-NOVA-LITE_S.jpg, Quality: 17, BlurExtent: 0.829, Per: 0.00833, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\316_IPHONE-7_S.jpeg, Quality: 76, BlurExtent: 0.238, Per: 0.05093, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\317_IPHONE-8-PLUS_S.jpg, Quality: 16, BlurExtent: 0.831, Per: 0.00424, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\318_HONOR-7C_S.jpg, Quality: 65, BlurExtent: 0.348, Per: 0.01604, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\319_XIAOMI-REDMI-NOTE-4X_S.jpg, Quality: 63, BlurExtent: 0.365, Per: 0.03153, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\31_IPHONE-SE_S.jpg, Quality: 28, BlurExtent: 0.715, Per: 0.00349, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\320_HONOR-7X_S.jpg, Quality: 1, BlurExtent: 0.987, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\sharp\321_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 67, BlurExtent: 0.329, Per: 0.04155, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\322_HONOR-7C_S.jpg, Quality: 1, BlurExtent: 0.987, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\sharp\323_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 61, BlurExtent: 0.385, Per: 0.05438, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\324_ASUS-ZENFONE-LIVE-ZB501KL_S.jpg, Quality: 64, BlurExtent: 0.352, Per: 0.00711, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\325_SAMSUNG-GALAXY-J3_S.jpg, Quality: 17, BlurExtent: 0.828, Per: 0.00468, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\326_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 43, BlurExtent: 0.561, Per: 0.00875, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\327_IPHONE-SE_S.jpg, Quality: 95, BlurExtent: 0.048, Per: 0.00131, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\328_SAMSUNG-GALAXY-J3_S.jpg, Quality: 55, BlurExtent: 0.445, Per: 0.01578, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\329_HONOR-7C_S.jpg, Quality: 23, BlurExtent: 0.768, Per: 0.00299, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\32_HUAWEI-P-SMART_S.jpg, Quality: 55, BlurExtent: 0.449, Per: 0.01839, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\330_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 66, BlurExtent: 0.338, Per: 0.04874, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\331_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 74, BlurExtent: 0.251, Per: 0.04574, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\332_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 67, BlurExtent: 0.326, Per: 0.02481, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\333_HONOR-7X_S.jpg, Quality: 70, BlurExtent: 0.295, Per: 0.01449, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\334_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 69, BlurExtent: 0.308, Per: 0.00151, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\335_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 51, BlurExtent: 0.487, Per: 0.01277, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\336_ASUS-ZENFONE-LIVE-ZB501KL_S.jpg, Quality: 65, BlurExtent: 0.348, Per: 0.00651, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\337_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 36, BlurExtent: 0.632, Per: 0.00852, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\338_IPHONE-SE_S.jpg, Quality: 26, BlurExtent: 0.737, Per: 0.00436, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\339_XIAOMI-REDMI-4X_S.jpg, Quality: 56, BlurExtent: 0.440, Per: 0.00540, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\33_HONOR-8X_S.jpg, Quality: 26, BlurExtent: 0.735, Per: 0.00566, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\340_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 33, BlurExtent: 0.665, Per: 0.00705, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\341_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 21, BlurExtent: 0.780, Per: 0.00120, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\342_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 34, BlurExtent: 0.656, Per: 0.00254, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\343_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 55, BlurExtent: 0.444, Per: 0.01190, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\344_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 16, BlurExtent: 0.838, Per: 0.00222, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\345_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 28, BlurExtent: 0.720, Per: 0.00213, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\346_HUAWEI-MATE20_S.jpg, Quality: 75, BlurExtent: 0.249, Per: 0.05059, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\347_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 51, BlurExtent: 0.490, Per: 0.01486, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\348_IPHONE-8_S.JPG, Quality: 97, BlurExtent: 0.023, Per: 0.07566, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\349_IPHONE-SE_S.jpg, Quality: 29, BlurExtent: 0.704, Per: 0.00582, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\34_HONOR-8X_S.jpg, Quality: 68, BlurExtent: 0.316, Per: 0.01438, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\35_IPHONE-6S_S.jpeg, Quality: 33, BlurExtent: 0.670, Per: 0.00271, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\36_HONOR-8X_S.jpg, Quality: 27, BlurExtent: 0.724, Per: 0.00458, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\37_HONOR-8X_S.jpg, Quality: 63, BlurExtent: 0.362, Per: 0.02020, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\38_HONOR-8X_S.jpg, Quality: 79, BlurExtent: 0.208, Per: 0.06042, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\39_XIAOMI-MI8-LITE_S.jpg, Quality: 71, BlurExtent: 0.281, Per: 0.00377, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\3_HUAWEI-NOVA-LITE_S.jpg, Quality: 26, BlurExtent: 0.733, Per: 0.00228, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\40_IPHONE-6S_S.jpeg, Quality: 58, BlurExtent: 0.419, Per: 0.00923, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\41_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 27, BlurExtent: 0.722, Per: 0.00396, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\42_NIKON-D3400-35MM_S.JPG, Quality: 52, BlurExtent: 0.470, Per: 0.00517, is blur: False, Full image processed
E:\Dataset\blur\archive\sharp\43_HONOR-8X_S.jpg, Quality: 84, BlurExtent: 0.157, Per: 0.08304, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\44_SONY-XPERIA-E5_S.jpg, Quality: 94, BlurExtent: 0.051, Per: 0.01190, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\45_HONOR-7X_S.jpg, Quality: 32, BlurExtent: 0.679, Per: 0.00061, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\46_IPHONE-8-PLUS_S.jpg, Quality: 63, BlurExtent: 0.364, Per: 0.00640, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\47_XIAOMI-REDMI-7_S.jpg, Quality: 38, BlurExtent: 0.616, Per: 0.02968, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\48_HONOR-8X_S.jpg, Quality: 36, BlurExtent: 0.639, Per: 0.01159, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\49_HONOR-8X_S.jpg, Quality: 66, BlurExtent: 0.330, Per: 0.02410, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\4_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 44, BlurExtent: 0.557, Per: 0.00309, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\50_HONOR-8X_S.jpg, Quality: 24, BlurExtent: 0.759, Per: 0.00179, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\51_IPHONE-SE_S.jpg, Quality: 15, BlurExtent: 0.846, Per: 0.00058, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\52_HONOR-8X_S.jpg, Quality: 25, BlurExtent: 0.747, Per: 0.01334, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\53_NIKON-D3400-35MM_S.JPG, Quality: 88, BlurExtent: 0.110, Per: 0.04736, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\54_HONOR-8X_S.jpg, Quality: 53, BlurExtent: 0.465, Per: 0.05099, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\55_HONOR-8X_S.jpg, Quality: 53, BlurExtent: 0.470, Per: 0.04617, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\56_HONOR-8X_S.jpg, Quality: 30, BlurExtent: 0.693, Per: 0.00174, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\57_IPHONE-SE_S.jpg, Quality: 52, BlurExtent: 0.475, Per: 0.01222, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\58_IPHONE-6S_S.jpeg, Quality: 10, BlurExtent: 0.893, Per: 0.00510, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\59_IPHONE-6S_S.jpg, Quality: 59, BlurExtent: 0.409, Per: 0.00042, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\5_XIAOMI-PROCOFONE-F1_S.jpg, Quality: 26, BlurExtent: 0.732, Per: 0.00333, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\60_IPHONE-8-PLUS_S.jpg, Quality: 9, BlurExtent: 0.908, Per: 0.00034, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\61_XIAOMI-REDMI-7_S.jpg, Quality: 34, BlurExtent: 0.652, Per: 0.01558, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\62_HONOR-8X_S.jpg, Quality: 51, BlurExtent: 0.489, Per: 0.04146, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\63_HUAWEI-P20_S.jpg, Quality: 62, BlurExtent: 0.372, Per: 0.04183, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\64_SAMSUNG-GALAXY-S5_S.jpg, Quality: 9, BlurExtent: 0.904, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\sharp\65_NIKON-D3400-35MM_S.JPG, Quality: 36, BlurExtent: 0.633, Per: 0.00974, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\66_HONOR-8X_S.jpg, Quality: 14, BlurExtent: 0.852, Per: 0.00197, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\67_HONOR-8X_S.jpg, Quality: 13, BlurExtent: 0.862, Per: 0.01488, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\68_HONOR-8X_S.jpg, Quality: 38, BlurExtent: 0.614, Per: 0.00337, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\69_SAMSUNG-GALAXY-J3_S.jpg, Quality: 35, BlurExtent: 0.645, Per: 0.00464, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\6_HUAWEI-MATE20_S.jpg, Quality: 97, BlurExtent: 0.024, Per: 0.10768, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\70_HONOR-8X_S.jpg, Quality: 30, BlurExtent: 0.696, Per: 0.00585, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\71_SAMSUNG-GALAXY-A6_S.jpg, Quality: 31, BlurExtent: 0.687, Per: 0.01165, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\72_IPHONE-8_S.jpg, Quality: 51, BlurExtent: 0.487, Per: 0.00151, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\73_PANASONIC-DMC-TZ35_S.JPG, Quality: 96, BlurExtent: 0.033, Per: 0.00391, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\74_HONOR-8X_S.jpg, Quality: 15, BlurExtent: 0.845, Per: 0.00228, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\75_HONOR-8X_S.jpg, Quality: 53, BlurExtent: 0.463, Per: 0.02065, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\76_HONOR-8X_S.jpg, Quality: 95, BlurExtent: 0.050, Per: 0.00362, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\77_HONOR-7C_S.jpg, Quality: 71, BlurExtent: 0.285, Per: 0.00356, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\78_NIKON-D3400-35MM_S.JPG, Quality: 66, BlurExtent: 0.332, Per: 0.01419, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\79_HUAWEI-P30-PRO_S.jpg, Quality: 62, BlurExtent: 0.378, Per: 0.01143, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\7_NIKON-D3400-35MM_S.JPG, Quality: 83, BlurExtent: 0.161, Per: 0.07668, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\80_HUAWEI-P30-PRO_S.jpg, Quality: 50, BlurExtent: 0.496, Per: 0.00216, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\81_SAMSUNG-GALAXY-J3_S.jpg, Quality: 38, BlurExtent: 0.612, Per: 0.00737, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\82_HONOR-8X_S.jpg, Quality: 27, BlurExtent: 0.724, Per: 0.00359, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\83_HONOR-8X_S.jpg, Quality: 25, BlurExtent: 0.745, Per: 0.00722, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\84_IPHONE-XR_S.jpeg, Quality: 65, BlurExtent: 0.344, Per: 0.00544, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\85_HONOR-8X_S.jpg, Quality: 57, BlurExtent: 0.429, Per: 0.02136, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\86_HONOR-8X_S.jpg, Quality: 18, BlurExtent: 0.812, Per: 0.00541, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\87_IPHONE-8-PLUS_S.jpg, Quality: 87, BlurExtent: 0.129, Per: 0.00742, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\88_HONOR-8X_S.jpg, Quality: 24, BlurExtent: 0.756, Per: 0.00217, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\89_IPHONE-6S_S.jpeg, Quality: 3, BlurExtent: 0.960, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\sharp\8_SAMSUNG-GALAXY-A6_S.jpg, Quality: 93, BlurExtent: 0.061, Per: 0.00500, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\90_HONOR-7X_S.jpg, Quality: 69, BlurExtent: 0.309, Per: 0.01025, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\91_HONOR-7X_S.jpg, Quality: 12, BlurExtent: 0.875, Per: 0.00160, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\92_IPHONE-7_S.jpeg, Quality: 17, BlurExtent: 0.826, Per: 0.00140, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\93_HONOR-7X_S.jpg, Quality: 56, BlurExtent: 0.434, Per: 0.02077, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\94_HONOR-7X_S.jpg, Quality: 53, BlurExtent: 0.468, Per: 0.01570, is blur: False, Full image processed
E:\Dataset\blur\archive\sharp\95_HONOR-7X_S.jpg, Quality: 58, BlurExtent: 0.412, Per: 0.00474, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\96_HONOR-7X_S.jpg, Quality: 35, BlurExtent: 0.641, Per: 0.01362, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\97_HONOR-7X_S.jpg, Quality: 36, BlurExtent: 0.638, Per: 0.00178, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\98_HONOR-7X_S.jpg, Quality: 29, BlurExtent: 0.704, Per: 0.00396, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\99_HONOR-7X_S.jpg, Quality: 61, BlurExtent: 0.383, Per: 0.01729, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\9_HUAWEI-P20_S.jpg, Quality: 70, BlurExtent: 0.298, Per: 0.02971, is blur: False, Center-only processed
